source_record_id,name,source,categories,classification,classification_confidence,classification_signals,classification_reason
apify_google_maps_ChIJm_HLVfDSQC4Ro4KydzRo_hc,Tugu Andan Jejama,apify_google_maps,taman,accepted,0.9,high_reviews:44,Kategori 'Taman' disetujui dengan sinyal: high_reviews:44
apify_google_maps_ChIJp_Ef72bTQC4RYgj6wp9nbDM,Bringin Bronjong Way Lima,apify_google_maps,taman,manual_review,0.5,,Kategori 'Taman' tanpa sinyal wisata khusus
apify_google_maps_ChIJCwnP-P8pQS4Rb_imH3qA1qw,Rumah alm karto,apify_google_maps,taman,accepted,0.9,search_keyword:wisata keluarga,Kategori 'Taman' disetujui dengan sinyal: search_keyword:wisata keluarga
apify_google_maps_ChIJu3tYRmnNQC4RGEzsKVOUfHg,Taman Bukit Raya,apify_google_maps,museum,accepted,1.0,category_accepted,Kategori utama 'Museum' disetujui
apify_google_maps_ChIJeygWTpzVQC4RTTZTg4h03To,Sidodadi Water fall,apify_google_maps,taman rekreasi air,accepted,1.0,category_accepted,Kategori utama 'Taman Rekreasi Air' disetujui
apify_google_maps_ChIJPXwtwaLTQC4RuLo2uzM7bFI,Taman Wisata Tanjung Mas,apify_google_maps,taman,accepted,0.9,"name_keyword:wisata,high_reviews:17","Kategori 'Taman' disetujui dengan sinyal: name_keyword:wisata, high_reviews:17"
apify_google_maps_ChIJW-lHN4PTQC4R42Y1_MmXU6g,Taman Sidototo,apify_google_maps,taman kota,accepted,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'taman'
apify_google_maps_ChIJ0_5ui4nRQC4Rg3PZlKJ7Kx0,Hortipark,apify_google_maps,taman,manual_review,0.5,,Kategori 'Taman' tanpa sinyal wisata khusus
apify_google_maps_ChIJt7wq3HPTQC4R5ZTm8TawU9c,Taman sukaraja,apify_google_maps,tujuan wisata,accepted,1.0,category_accepted,Kategori utama 'Tujuan Wisata' disetujui
apify_google_maps_ChIJZY2eeobTQC4RB-cCV_2FvVg,Taman KWT Melati,apify_google_maps,taman,accepted,0.9,search_keyword:taman wisata,Kategori 'Taman' disetujui dengan sinyal: search_keyword:taman wisata
apify_google_maps_ChIJH2UdWAArRy4RQrb9OjEdN1o,Taman Jaya agro wisata,apify_google_maps,tujuan wisata,accepted,1.0,category_accepted,Kategori utama 'Tujuan Wisata' disetujui
apify_google_maps_ChIJyc8o__zTQC4RAxTG6Yd_wLw,Telaga Batu Putih,apify_google_maps,taman,accepted,0.9,search_keyword:taman wisata,Kategori 'Taman' disetujui dengan sinyal: search_keyword:taman wisata
apify_google_maps_ChIJSSGpSJ8kRy4RCHnfJtSuVHg,Pemandian Way Bekhak Sukaraja Gunung Alip,apify_google_maps,taman rekreasi air,accepted,1.0,category_accepted,Kategori utama 'Taman Rekreasi Air' disetujui
apify_google_maps_ChIJ1QKNm0g9Ry4RSsayhXZ9qWU,Mata Air Sumberagung1,apify_google_maps,taman rekreasi air,accepted,1.0,category_accepted,Kategori utama 'Taman Rekreasi Air' disetujui
apify_google_maps_ChIJw3z8eQA9Ry4RxRF81Xt-BUc,Wisata mata air,apify_google_maps,tempat parkir,accepted,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJma1hegA9Ry4RaMR7yyzj5sc,AIR TERJUN GEROJOGAN LORO,apify_google_maps,taman,manual_review,0.5,,Kategori 'Taman' tanpa sinyal wisata khusus
apify_google_maps_ChIJ1fn0aVM7Ry4RWHdSXNaylkI,Gunung Alif,apify_google_maps,taman,manual_review,0.5,,Kategori 'Taman' tanpa sinyal wisata khusus
apify_google_maps_ChIJwYAfCwA9Ry4R0MIjhK44BbI,PARKIRAN WISATA MATA AIR GUNUNG BATU,apify_google_maps,tujuan wisata,accepted,1.0,category_accepted,Kategori utama 'Tujuan Wisata' disetujui
apify_google_maps_ChIJV98VIQA9Ry4Rheof_Ttzq1M,Tempat parkir wisata mata air gunung batu margoyoso,apify_google_maps,tujuan wisata,accepted,1.0,category_accepted,Kategori utama 'Tujuan Wisata' disetujui
apify_google_maps_ChIJHz0gOKIlRy4RW2AEoHNlaPI,Simpang Gunung Alif,apify_google_maps,taman,manual_review,0.5,,Kategori 'Taman' tanpa sinyal wisata khusus
apify_google_maps_ChIJp8i0JVsoRy4RIh8mkA7hbC0,Wisata Pegunungan Gayau,apify_google_maps,taman,accepted,0.9,"name_keyword:wisata,high_reviews:36","Kategori 'Taman' disetujui dengan sinyal: name_keyword:wisata, high_reviews:36"
