canonical_id,name,region,decision_rule,decision_reason
can_b06c1efc55fa,Gajah Mandiri,Kabupaten Lampung Tengah,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_00f33a88d2dd,Bukit Gg. Gaul,Kabupaten Lampung Tengah,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_024c4fb4c89a,Taman Cerry Glompong,Kabupaten Lampung Tengah,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_63f18aaf8fe3,Wisata Jeruk Nandasari,Kabupaten Lampung Tengah,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_1f2fa288fb40,WISATA BATU SERIBU (WayRupik),Kabupaten Lampung Tengah,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_3de983ac8e2c,TPU Bandar Jaya,Kabupaten Lampung Tengah,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_dbed9d70254a,Taman wisata srimenanti,Kabupaten Lampung Timur,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_16454bdc631e,Wisata gerojokan,Kabupaten Lampung Timur,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_cb536af6e5ba,Kebun Alpukat Siger Desa Girimulyo,Kabupaten Lampung Timur,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_0ad2c6fa95ed,Kawasan Edukasi Peduli Lingkungan,Kabupaten Lampung Timur,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_40a3df3667b4,Lapangan BRAJAASRI,Kabupaten Lampung Timur,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_58dbf563cd1b,Pantai kerang mas ujung,Kabupaten Lampung Timur,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_173d9bd63841,Wisata taman mbh jo,Kabupaten Lampung Timur,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_4e9a0153df9c,Taman Ki Hajar Dewantara,Kabupaten Lampung Timur,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_f720fde0e364,Makam,Kabupaten Lampung Timur,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_b16862bda345,Pulau Pedang,Kabupaten Way Kanan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_067001992225,Kebun Sawit - Putra Benawa,Kabupaten Way Kanan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_5bfcf4361215,Kebun Sambudi,Kabupaten Way Kanan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_914202914e45,PERKEBUNAN PEBRI SUKSES,Kabupaten Way Kanan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_1864fa0869eb,Kebun elen,Kabupaten Way Kanan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_fc56376f1ab8,TAMAN WISATA MT. BUKIT PUNGGUR,Kabupaten Way Kanan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_076831a1881b,Air Terjun Putera Senja,Kabupaten Way Kanan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_eac17becc7cd,Taman wisata way tebabeng,Kabupaten Lampung Utara,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_684dc64e2007,Taman Sahabat Kotabumi,Kabupaten Lampung Utara,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_ac390b1e275a,TAMAN SRI TANJUNG,Kabupaten Lampung Utara,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_93a81890063f,Taman Wisata Way Rarem/Bendungan Way Rarem,Kabupaten Lampung Utara,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_0dede19da9e8,Tugu Payan Mas Kotabumi,Kabupaten Lampung Utara,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_248208cda700,Pantai keduk,Kabupaten Lampung Utara,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_03a8601a9bdd,Persawahan desa fajar Baru blok A,Kabupaten Mesuji,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_00e73f54493a,TUGU TAMAN HAYATI MEKARSARI,Kabupaten Mesuji,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_edaf183aa3c0,TAMAN RAGA DESA BUJUNG BURING,Kabupaten Mesuji,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_0a751637875a,Wisata kali kliwir,Kabupaten Mesuji,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_10fd29264b96,Bendungan Danau Asri,Kabupaten Mesuji,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_2cfc7986fdba,Gedung Serba Guna Taman Kehati,Kabupaten Mesuji,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_24edbb246283,Taman Gedung Ram,Kabupaten Mesuji,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_044ba5b087e3,Tempat nyore wong tulus,Kabupaten Mesuji,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_6d344c26c3c7,Taman Merdeka Kota Metro,Kota Metro,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_4ec06701eef2,Taman bunga Celosia Nandini,Kota Metro,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_0184d61fb09d,Hutan Kota Stadion Tejosari,Kota Metro,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_5b090a3eef9a,Taman Yosomulyo,Kota Metro,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_11181c5bec13,Taman berwarna pingled 21,Kota Metro,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_06ea93392bfd,Taman berwarna pingled 2 satoe,Kota Metro,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_58c807b2db79,Taman berwarna pingled 22,Kota Metro,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_73315375b2b4,Bukit Panjerejo,Kabupaten Pringsewu,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_0ab679fca5a8,Ternak Lele Area Taman Sabin,Kabupaten Pringsewu,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_91cbaf568da3,TAMAN BUMEN,Kabupaten Pringsewu,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_a673a677b7a1,Wisata Ndoro Putri (view jembatan way sekampung),Kabupaten Pringsewu,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_3fed28a229ed,Taman bunga buah bukit sion,Kabupaten Pringsewu,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_2f84aa658420,Sawahku 4300,Kabupaten Pringsewu,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_0091b7447287,Kebun Jeruk Pak Supar,Kabupaten Pringsewu,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_1dd38a94e626,Taman SMA Negeri 1 Sukoharjo,Kabupaten Pringsewu,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_15dc7c773782,Taman Tugu Dodos,Kabupaten Tulang Bawang,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_7ffcb2575c29,Lapangan Banjar Margo,Kabupaten Tulang Bawang,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_0c8172d3ecb5,Taman Ramah Anak,Kabupaten Tulang Bawang,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_60213ad709e9,Taman Bunderan Pasar Lama,Kabupaten Tulang Bawang,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_004135856044,Tugu Empat Marga,Kabupaten Tulang Bawang Barat,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_465fe1a4cbc7,Wall climbing Politeknik Tunas Garuda,Kabupaten Tulang Bawang Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_81dc1c9f1e25,TAMAN TIYUH MULYA SARI,Kabupaten Tulang Bawang Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_2f428dbb6ad1,Alun alun Agung,Kabupaten Tulang Bawang,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_7267a0673e60,Perkebunan Jambu Kristal Gusanto,Kabupaten Tulang Bawang Barat,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_96701f380902,Kebun singkong,Kabupaten Tulang Bawang Barat,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_e8066416c183,FMM Panaragan,Kabupaten Tulang Bawang Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_9460594145a4,Taman kuda mulyosari,Kabupaten Tulang Bawang Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_ea28fb1041fe,Bumi Perkemahan Bangun Jaya,Kabupaten Tulang Bawang Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_43fd39fb5671,Agro wisata,Kabupaten Tulang Bawang Barat,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_03603652006f,Satwa Wahana & Wisata Bumi Kedaton,Kota Bandar Lampung,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_a05151d6b1d4,Trumpoong Park,Kabupaten Lampung Tengah,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_084c24db31c1,Tirtayasa Summit,Kabupaten Lampung Selatan,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_25a23bbd64cd,Siger Park Bakauheni Harbour City,Kabupaten Lampung Selatan,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_198553114e0e,Lapangan Pemuda Ketapang,Kabupaten Lampung Tengah,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_fd1dbf505059,Waterpark Kali miring,Kabupaten Lampung Tengah,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_23857140564f,Water Boom Galaxy,Kabupaten Lampung Utara,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_0f49826fcdf9,Alun-alun Panarangan,Kabupaten Lampung Utara,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_09bb1abed975,Sunrise Beach of PLS,Kabupaten Pesisir Barat,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_170f589d3b6c,Snorkeling point,Kabupaten Pesisir Barat,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
can_0568deac000e,TAMAN KOTA Unit II Banjar Agung,Kabupaten Tulang Bawang,unmapped_metadata,Metadata unmapped. Insufficient context to classify as research or excluded.
