field_name,type,nullable,allowed_values,description,source,aggregation,null_policy
review_latest_at,string,True,ISO Timestamp or null,Latest review date,reviews.parquet,Max date,Null if no reviews
review_oldest_at,string,True,ISO Timestamp or null,Oldest review date,reviews.parquet,Min date,Null if no reviews
review_coverage_status,string,False,"ineligible, no_reviews, scraped",Detailed review status description,reviews.parquet / pilot_gp,Conditional mapping,Never null
address,string,True,Any address string or null,Enriched address of attraction,place_metadata.parquet,Join,Null if missing
phone,string,True,Any phone string or null,Enriched contact phone number,place_metadata.parquet,Join,Null if missing
official_website,string,True,Any URL string or null,Authoritative official website (excluding google maps link),place_metadata.parquet,Join,Null if missing
website_status,string,False,"missing, google_maps_only, official_domain_present",Status classification of website metadata,place_metadata.parquet,Conditional mapping,Never null
operational_status,string,False,"OPERATIONAL, CLOSED_TEMPORARILY, CLOSED_PERMANENTLY, unknown",Operational status of attraction,operational_status.parquet,Join,Never null
operational_status_confidence,float,True,0.0 to 1.0 or null,Confidence of operational status mapping,operational_status.parquet,Join,Null if missing
description,string,True,Any string or null,Detailed textual description,place_metadata.parquet,Join,Null if missing
metadata_mapping_status,string,False,"mapped, unmapped",Indicates if place mapped to Apify raw metadata,place_metadata.parquet,Conditional mapping,Never null
metadata_completeness_score,float,False,0.0 to 100.0,Completeness score of place metadata layer,place_metadata.parquet,Join,Never null
metadata_completeness_class,string,False,"complete, strong, moderate, sparse",Classification tier of metadata completeness,place_metadata.parquet,Conditional mapping,Never null
has_opening_hours,boolean,False,"true, false",Presence flag for opening hours data,opening_hours.parquet,Group Match,Never null
opening_hours_status,string,False,"missing, observed, open_24_7",General status of hours,opening_hours.parquet,Conditional mapping,Never null
opening_days_count,integer,False,0 to 7,Number of unique days with defined hours,opening_hours.parquet,Unique count of days,Never null
open_24_hours,boolean,False,"true, false",Flag indicating if open 24 hours on all opening days,opening_hours.parquet,Boolean check,Never null
opening_hours_summary,string,True,Summary string or null,Summary of active days and times,opening_hours.parquet,Text summary,Null if missing
opening_hours_source_count,integer,False,>= 0,Number of raw sources reporting opening hours,opening_hours.parquet,Group Count,Never null
facility_count,integer,False,>= 0,Count of listed facilities,facilities.parquet,Group Count,Never null
facilities,string,False,"JSON list e.g. [""parking"", ""toilet""]",List of facilities available,facilities.parquet,List aggregation,Never null
has_parking,boolean,False,"true, false",Presence of parking facility,facilities.parquet,Boolean match,Never null
has_toilet,boolean,False,"true, false",Presence of public toilet,facilities.parquet,Boolean match,Never null
has_food,boolean,False,"true, false","Presence of food stalls, cafe, or restaurant",facilities.parquet,Boolean match,Never null
has_prayer_room,boolean,False,"true, false",Presence of prayer room (mushola/mosque),facilities.parquet,Boolean match,Never null
has_wheelchair_access,boolean,False,"true, false",Presence of wheelchair accessibility features,facilities.parquet,Boolean match,Never null
accessibility_status,string,False,"missing, observed_accessible, observed_inaccessible",Accessibility status classification,facilities.parquet,Conditional mapping,Never null
facility_data_status,string,False,"missing, partial, complete",Indicates facility data availability,facilities.parquet,Conditional mapping,Never null
price_original_priority,string,True,"high, medium, low, not_applicable, manual_review or null",Original priority assigned in pilot selection,pilot_price_candidates.csv,Join,Null if missing
price_validation_scope,string,False,"in_scope, out_of_scope",Validation scope inclusion flag,research_price_candidates.csv / pilot_price_candidates.csv,Conditional join,Never null
price_validation_status,string,False,"validated, pending, excluded_free, excluded_non_attraction, not_applicable, not_evaluated",Validation workflow status,research_price_candidates.csv / pilot_price_candidates.csv,Join / Map,Never null
price_final_decision,string,True,"research, manual_review, excluded_free, excluded_non_attraction, not_applicable, null",Validation final workflow decision,research_price_candidates.csv,Join,Null if missing
price_requires_manual_review,boolean,False,"true, false",Flag indicating place requires manual validation,research_price_candidates.csv,Join / Map,Never null
price_candidate_reason,string,True,Any string or null,Rule-derived reason for final decision,research_price_candidates.csv,Join,Null if missing
has_local_price_evidence,boolean,False,"true, false",Flag indicating valid local price observations exist,price_observations.csv,Group Match,Never null
local_price_observation_count,integer,False,>= 0,Total number of price observations found locally,price_observations.csv,Group Count,Never null
local_valid_price_observation_count,integer,False,>= 0,Number of observations audited as valid,price_observations.csv,Group Count filtered,Never null
local_price_type_count,integer,False,>= 0,Number of unique price types observed,price_observations.csv,Unique count,Never null
local_price_types,string,False,"JSON list e.g. [""ticket"", ""parking""]",Types of prices observed locally,price_observations.csv,List aggregation,Never null
local_price_min,float,True,>= 0.0 or null,Minimum valid observed local price amount,price_observations.csv,Min amount,Null if no observations
local_price_max,float,True,>= 0.0 or null,Maximum valid observed local price amount,price_observations.csv,Max amount,Null if no observations
local_price_currency,string,True,IDR or null,Currency of observed local prices,price_observations.csv,Mode,Null if missing
local_price_temporal_statuses,string,False,"JSON list e.g. [""current"", ""historical""]",Observed temporal statuses,price_observations.csv,List aggregation,Never null
local_price_best_confidence,float,True,0.0 to 1.0 or null,Highest confidence score among observations,price_observations.csv,Max,Null if missing
local_price_data_status,string,False,"no_evidence, historical_only, current_present",Consolidated status of local evidence,price_observations.csv,Conditional mapping,Never null
external_verification_status,string,False,"not_verified, completed_verified, completed_no_price, completed_unresolved, pending",Verification status of external search,external_verification_coverage.csv,Join,"Never null, default to not_verified"
external_queries_attempted,integer,False,>= 0,Number of queries searched externally,external_verification_coverage.csv,Join,"Never null, default to 0"
external_sources_checked,integer,False,>= 0,Number of distinct sources checked,external_verification_coverage.csv,Join,"Never null, default to 0"
external_accepted_sources,integer,False,>= 0,Number of accepted external sources,external_verification_coverage.csv,Join,"Never null, default to 0"
external_observation_count,integer,False,>= 0,Total number of external observations,external_verification_coverage.csv,Join,"Never null, default to 0"
external_selected_price_count,integer,False,>= 0,Number of selected external verified prices,prices_external_verified.csv,Group Count,Never null
has_verified_current_price,boolean,False,"true, false",Whether current verified external price exists,prices_external_verified.csv,Group Match,Never null
has_official_live_unbounded_price,boolean,False,"true, false",Whether official unbounded live price exists,prices_external_verified.csv,Group Match,Never null
external_price_min,float,True,>= 0.0 or null,Minimum verified external price amount,prices_external_verified.csv,Min amount,Null if no verified prices
external_price_max,float,True,>= 0.0 or null,Maximum verified external price amount,prices_external_verified.csv,Max amount,Null if no verified prices
external_price_currency,string,True,IDR or null,Currency of external prices,prices_external_verified.csv,Mode,Null if missing
external_unresolved_reason,string,True,Any string or null,Reason why external search was unresolved,external_verification_coverage.csv,Join,Null if missing
external_price_data_status,string,False,"not_verified, completed_no_price, completed_unresolved, verified_present",Consolidated status of external verification search,external_verification_coverage.csv,Conditional mapping,Never null
has_identity_data,boolean,False,"true, false",True if canonical identity is complete,pilot_places.parquet,Boolean match,Never null
has_review_data,boolean,False,"true, false",True if place has review data present,reviews.parquet,Boolean match,Never null
has_metadata_data,boolean,False,"true, false",True if metadata mapping status is mapped,place_metadata.parquet,Boolean match,Never null
has_facility_data,boolean,False,"true, false",True if place has facility records,facilities.parquet,Boolean match,Never null
has_opening_hours_data,boolean,False,"true, false",True if place has opening hours records,opening_hours.parquet,Boolean match,Never null
has_local_price_data,boolean,False,"true, false",True if place has valid local price observations,price_observations.csv,Boolean match,Never null
has_external_price_data,boolean,False,"true, false",True if place has external verified prices,prices_external_verified.csv,Boolean match,Never null
enrichment_layer_count,integer,False,0 to 7,Number of enriched layers present,Derived,Sum of layer flags,Never null
overall_completeness_score,float,False,0.0 to 100.0,Weighted overall completeness score,Derived,Weighted sum formula,Never null
overall_completeness_class,string,False,"complete, strong, moderate, sparse",Quality tier class of overall completeness,Derived,Score range thresholds,Never null
quality_warning_count,integer,False,>= 0,Total number of quality warnings triggered,Derived,Count warnings,Never null
quality_warnings,string,False,JSON list of warning strings,Detailed quality warnings triggered for place,Derived,List aggregation,Never null
consolidation_status,string,False,"consolidated, dry_run",Status of the consolidation process,Derived,Static label,Never null
master_version,string,False,Any string,Release version of consolidation run,Derived,Static label,Never null
generated_at,string,False,ISO Timestamp,Consolidation execution date,Derived,Timestamp,Never null
